id,group,time,score
1,Control,t1,54.5
2,Control,t1,76
3,Control,t1,52
4,Control,t1,46.7
5,Control,t1,75.4
6,Control,t1,
7,Control,t1,61.5
8,Control,t1,90.5
1,Y_glucan,t1,43.1
2,Y_glucan,t1,73.4
3,Y_glucan,t1,55.2
4,Y_glucan,t1,50.7
5,Y_glucan,t1,55.6
6,Y_glucan,t1,73.6
7,Y_glucan,t1,26.2
8,Y_glucan,t1,53.6
1,Control,t2,38.6
2,Control,t2,51.1
3,Control,t2,25.4
4,Control,t2,49.7
5,Control,t2,45.8
6,Control,t2,32.2
7,Control,t2,57.2
8,Control,t2,41.6
1,Y_glucan,t2,26.6
2,Y_glucan,t2,45.2
3,Y_glucan,t2,30.9
4,Y_glucan,t2,41.2
5,Y_glucan,t2,61.5
6,Y_glucan,t2,46.6
7,Y_glucan,t2,46.1
8,Y_glucan,t2,34
1,Control,t3,54.9
2,Control,t3,74
3,Control,t3,68.9
4,Control,t3,45.3
5,Control,t3,46.1
6,Control,t3,60
7,Control,t3,53.5
8,Control,t3,57.5
1,Y_glucan,t3,92.6
2,Y_glucan,t3,57.8
3,Y_glucan,t3,42.6
4,Y_glucan,t3,55.8
5,Y_glucan,t3,45.4
6,Y_glucan,t3,65.1
7,Y_glucan,t3,53.5
8,Y_glucan,t3,35.3
