id,group,time,score
1,Control,t1,16.1
2,Control,t1,23.5
3,Control,t1,17.3
4,Control,t1,12.1
5,Control,t1,22
6,Control,t1,
7,Control,t1,18.4
8,Control,t1,25.1
1,Y_glucan,t1,25.4
2,Y_glucan,t1,17.8
3,Y_glucan,t1,25.2
4,Y_glucan,t1,33.7
5,Y_glucan,t1,17.7
6,Y_glucan,t1,27
7,Y_glucan,t1,44.8
8,Y_glucan,t1,18.9
1,Control,t2,20.4
2,Control,t2,22.9
3,Control,t2,16
4,Control,t2,16.2
5,Control,t2,15.5
6,Control,t2,22.3
7,Control,t2,16.7
8,Control,t2,22.8
1,Y_glucan,t2,26
2,Y_glucan,t2,19.8
3,Y_glucan,t2,14.1
4,Y_glucan,t2,13.1
5,Y_glucan,t2,14.9
6,Y_glucan,t2,19.1
7,Y_glucan,t2,24.9
8,Y_glucan,t2,15.1
1,Control,t3,17.9
2,Control,t3,14.9
3,Control,t3,16.1
4,Control,t3,11.8
5,Control,t3,13.7
6,Control,t3,15.6
7,Control,t3,12.4
8,Control,t3,13.2
1,Y_glucan,t3,13.9
2,Y_glucan,t3,15
3,Y_glucan,t3,15.9
4,Y_glucan,t3,11.6
5,Y_glucan,t3,13.8
6,Y_glucan,t3,15.5
7,Y_glucan,t3,16.6
8,Y_glucan,t3,14.1
