id,group,time,score
1,Control,t1,0.74
2,Control,t1,1.51
3,Control,t1,1.06
4,Control,t1,1.31
5,Control,t1,1.51
6,Control,t1,1.34
7,Control,t1,2.01
8,Control,t1,4.14
1,Y_glucan,t1,1.13
2,Y_glucan,t1,0.81
3,Y_glucan,t1,1.33
4,Y_glucan,t1,1.93
5,Y_glucan,t1,
6,Y_glucan,t1,1.78
7,Y_glucan,t1,2.09
8,Y_glucan,t1,2.73
1,Control,t2,45
2,Control,t2,20.7
3,Control,t2,64.5
4,Control,t2,7.62
5,Control,t2,48.8
6,Control,t2,30.2
7,Control,t2,7.63
8,Control,t2,42.4
1,Y_glucan,t2,25.4
2,Y_glucan,t2,10
3,Y_glucan,t2,5.54
4,Y_glucan,t2,37.5
5,Y_glucan,t2,32
6,Y_glucan,t2,78.6
7,Y_glucan,t2,12.5
8,Y_glucan,t2,57.3
1,Control,t3,3.04
2,Control,t3,2.12
3,Control,t3,3.29
4,Control,t3,3.14
5,Control,t3,2.12
6,Control,t3,4.2
7,Control,t3,7.86
8,Control,t3,4.16
1,Y_glucan,t3,2.44
2,Y_glucan,t3,3.1
3,Y_glucan,t3,2.39
4,Y_glucan,t3,3.42
5,Y_glucan,t3,3.83
6,Y_glucan,t3,4.49
7,Y_glucan,t3,2.5
8,Y_glucan,t3,5.78
