id,group,time,score
1,Control,t1,72.3
2,Control,t1,73.9
3,Control,t1,69.7
4,Control,t1,68.3
5,Control,t1,65.1
6,Control,t1,
7,Control,t1,60.9
8,Control,t1,68.9
1,Y_glucan,t1,68.1
2,Y_glucan,t1,65.3
3,Y_glucan,t1,66.1
4,Y_glucan,t1,69.6
5,Y_glucan,t1,72.7
6,Y_glucan,t1,73.9
7,Y_glucan,t1,66.1
8,Y_glucan,t1,72.8
1,Control,t2,64.1
2,Control,t2,65.3
3,Control,t2,53.8
4,Control,t2,66.9
5,Control,t2,62.8
6,Control,t2,49.2
7,Control,t2,59.9
8,Control,t2,63.3
1,Y_glucan,t2,48
2,Y_glucan,t2,60.9
3,Y_glucan,t2,56.7
4,Y_glucan,t2,60.3
5,Y_glucan,t2,63.9
6,Y_glucan,t2,43.8
7,Y_glucan,t2,63.7
8,Y_glucan,t2,54.9
1,Control,t3,58.1
2,Control,t3,68.3
3,Control,t3,61
4,Control,t3,55.8
5,Control,t3,61.9
6,Control,t3,61.6
7,Control,t3,57.2
8,Control,t3,73.8
1,Y_glucan,t3,58.6
2,Y_glucan,t3,68.4
3,Y_glucan,t3,64.5
4,Y_glucan,t3,58.3
5,Y_glucan,t3,62.8
6,Y_glucan,t3,56.7
7,Y_glucan,t3,66.5
8,Y_glucan,t3,57.3
