id,group,time,score
1,Control,t1,7.82
2,Control,t1,5.74
3,Control,t1,5.88
4,Control,t1,14.5
5,Control,t1,6.12
6,Control,t1,
7,Control,t1,7.36
8,Control,t1,8.53
1,Y_glucan,t1,7.26
2,Y_glucan,t1,10.8
3,Y_glucan,t1,10.1
4,Y_glucan,t1,16.3
5,Y_glucan,t1,4.27
6,Y_glucan,t1,12
7,Y_glucan,t1,8.92
8,Y_glucan,t1,8.24
1,Control,t2,15.5
2,Control,t2,17.6
3,Control,t2,9.19
4,Control,t2,9.3
5,Control,t2,14
6,Control,t2,13.1
7,Control,t2,9.82
8,Control,t2,9.95
1,Y_glucan,t2,15.4
2,Y_glucan,t2,13.3
3,Y_glucan,t2,12.5
4,Y_glucan,t2,10.4
5,Y_glucan,t2,14.2
6,Y_glucan,t2,15.4
7,Y_glucan,t2,12.7
8,Y_glucan,t2,14.5
1,Control,t3,10.1
2,Control,t3,9.15
3,Control,t3,10.2
4,Control,t3,
5,Control,t3,9.52
6,Control,t3,10
7,Control,t3,8.24
8,Control,t3,8.99
1,Y_glucan,t3,9.66
2,Y_glucan,t3,8.9
3,Y_glucan,t3,11.9
4,Y_glucan,t3,9.32
5,Y_glucan,t3,10.3
6,Y_glucan,t3,9.32
7,Y_glucan,t3,9.05
8,Y_glucan,t3,11.1
