id,group,time,score
1,Control,t1,160
2,Control,t1,142
3,Control,t1,144
4,Control,t1,139
5,Control,t1,138
6,Control,t1,133
7,Control,t1,198
8,Control,t1,215
1,Y_glucan,t1,127
2,Y_glucan,t1,
3,Y_glucan,t1,130
4,Y_glucan,t1,143
5,Y_glucan,t1,
6,Y_glucan,t1,133
7,Y_glucan,t1,142
8,Y_glucan,t1,121
1,Control,t2,147
2,Control,t2,70.6
3,Control,t2,99
4,Control,t2,99
5,Control,t2,83.5
6,Control,t2,95.1
7,Control,t2,152
8,Control,t2,93.8
1,Y_glucan,t2,157
2,Y_glucan,t2,82.2
3,Y_glucan,t2,88.7
4,Y_glucan,t2,82.2
5,Y_glucan,t2,88.7
6,Y_glucan,t2,148
7,Y_glucan,t2,125
8,Y_glucan,t2,86.1
1,Control,t3,198
2,Control,t3,108
3,Control,t3,127
4,Control,t3,100
5,Control,t3,69.4
6,Control,t3,191
7,Control,t3,97.7
8,Control,t3,142
1,Y_glucan,t3,87.4
2,Y_glucan,t3,65.5
3,Y_glucan,t3,112
4,Y_glucan,t3,102
5,Y_glucan,t3,57.8
6,Y_glucan,t3,12.8
7,Y_glucan,t3,93.8
8,Y_glucan,t3,100
