id,group,time,score
1,Control,t1,10.8
2,Control,t1,4.83
3,Control,t1,6.09
4,Control,t1,5.56
5,Control,t1,4.62
6,Control,t1,6.3
7,Control,t1,3.75
8,Control,t1,2.03
1,Y_glucan,t1,2.77
2,Y_glucan,t1,2.33
3,Y_glucan,t1,2.53
4,Y_glucan,t1,6.02
5,Y_glucan,t1,
6,Y_glucan,t1,2.92
7,Y_glucan,t1,8.94
8,Y_glucan,t1,4.71
1,Control,t2,1.37
2,Control,t2,0.93
3,Control,t2,1.39
4,Control,t2,0.84
5,Control,t2,2.89
6,Control,t2,0.99
7,Control,t2,1.33
8,Control,t2,3.18
1,Y_glucan,t2,1.27
2,Y_glucan,t2,0.86
3,Y_glucan,t2,1.5
4,Y_glucan,t2,6.87
5,Y_glucan,t2,3.13
6,Y_glucan,t2,2.04
7,Y_glucan,t2,1.3
8,Y_glucan,t2,2.36
1,Control,t3,0.64
2,Control,t3,0.98
3,Control,t3,0.44
4,Control,t3,1.03
5,Control,t3,1.19
6,Control,t3,1.25
7,Control,t3,0.96
8,Control,t3,1.61
1,Y_glucan,t3,1.25
2,Y_glucan,t3,0.64
3,Y_glucan,t3,0.5
4,Y_glucan,t3,0.93
5,Y_glucan,t3,1.07
6,Y_glucan,t3,0.12
7,Y_glucan,t3,1.42
8,Y_glucan,t3,1.17
