id,group,time,score
1,Control,t1,1.033423755
2,Control,t1,0.683947131
3,Control,t1,0.784617293
4,Control,t1,0.745074792
5,Control,t1,0.664641976
6,Control,t1,0.799340549
7,Control,t1,0.574031268
8,Control,t1,0.307496038
1,Y_glucan,t1,0.442479769
2,Y_glucan,t1,0.367355921
3,Y_glucan,t1,0.403120521
4,Y_glucan,t1,0.779596491
5,Y_glucan,t1,
6,Y_glucan,t1,0.465382851
7,Y_glucan,t1,0.951337519
8,Y_glucan,t1,0.673020907
1,Control,t2,0.136720567
2,Control,t2,-0.031517051
3,Control,t2,0.1430148
4,Control,t2,-0.075720714
5,Control,t2,0.460897843
6,Control,t2,-0.004364805
7,Control,t2,0.123851641
8,Control,t2,0.50242712
1,Y_glucan,t2,0.103803721
2,Y_glucan,t2,-0.065501549
3,Y_glucan,t2,0.176091259
4,Y_glucan,t2,0.836956737
5,Y_glucan,t2,0.495544338
6,Y_glucan,t2,0.309630167
7,Y_glucan,t2,0.113943352
8,Y_glucan,t2,0.372912003
1,Control,t3,-0.193820026
2,Control,t3,-0.008773924
3,Control,t3,-0.356547324
4,Control,t3,0.012837225
5,Control,t3,0.075546961
6,Control,t3,0.096910013
7,Control,t3,-0.017728767
8,Control,t3,0.206825876
1,Y_glucan,t3,0.096910013
2,Y_glucan,t3,-0.193820026
3,Y_glucan,t3,-0.301029996
4,Y_glucan,t3,-0.031517051
5,Y_glucan,t3,0.029383778
6,Y_glucan,t3,-0.920818754
7,Y_glucan,t3,0.152288344
8,Y_glucan,t3,0.068185862
