id,group,time,score
1,Control,t1,1.652246341
2,Control,t1,1.94792362
3,Control,t1,1.914871818
4,Control,t1,1.771587481
5,Control,t1,1.84135947
6,Control,t1,1.807535028
7,Control,t1,1.887054378
8,Control,t1,1.752048448
1,Y_Glucan,t1,1.85672889
2,Y_Glucan,t1,2.064457989
3,Y_Glucan,t1,1.978180517
4,Y_Glucan,t1,1.731588765
5,Y_Glucan,t1,1.720985744
6,Y_Glucan,t1,1.864511081
7,Y_Glucan,t1,#NUM!
8,Y_Glucan,t1,1.807535028
1,Control,t2,1.710963119
2,Control,t2,1.731588765
3,Control,t2,1.688419822
4,Control,t2,1.907948522
5,Control,t2,1.761927838
6,Control,t2,1.798650645
7,Control,t2,1.984077034
8,Control,t2,1.771587481
1,Y_Glucan,t2,1.789580712
2,Y_Glucan,t2,1.67669361
3,Y_Glucan,t2,1.771587481
4,Y_Glucan,t2,1.710963119
5,Y_Glucan,t2,1.781036939
6,Y_Glucan,t2,1.688419822
7,Y_Glucan,t2,1.761927838
8,Y_Glucan,t2,1.506505032
1,Control,t3,1.887054378
2,Control,t3,1.699837726
3,Control,t3,1.848804701
4,Control,t3,1.872156273
5,Control,t3,1.928395852
6,Control,t3,1.741939078
7,Control,t3,1.771587481
8,Control,t3,1.720985744
1,Y_Glucan,t3,1.824776462
2,Y_Glucan,t3,1.789580712
3,Y_Glucan,t3,
4,Y_Glucan,t3,1.833147112
5,Y_Glucan,t3,1.798650645
6,Y_Glucan,t3,1.688419822
7,Y_Glucan,t3,1.8162413
8,Y_Glucan,t3,1.58546073
1,Control,t4,1.94792362
2,Control,t4,1.935003151
3,Control,t4,1.894316063
4,Control,t4,2.017033339
5,Control,t4,1.833147112
6,Control,t4,1.907948522
7,Control,t4,1.887054378
8,Control,t4,2.173186268
1,Y_Glucan,t4,2.017033339
2,Y_Glucan,t4,1.978180517
3,Y_Glucan,t4,
4,Y_Glucan,t4,1.900913068
5,Y_Glucan,t4,1.731588765
6,Y_Glucan,t4,1.824776462
7,Y_Glucan,t4,2.181843588
8,Y_Glucan,t4,1.85672889
