id,group,time,score
1,Control,t1,2.17
2,Control,t1,4.85
3,Control,t1,0.69
4,Control,t1,3.05
5,Control,t1,0.27
6,Control,t1,1.28
7,Control,t1,0.36
8,Control,t1,2.71
1,Y_Glucan,t1,1.44
2,Y_Glucan,t1,2.12
3,Y_Glucan,t1,1.08
4,Y_Glucan,t1,1.45
5,Y_Glucan,t1,0.22
6,Y_Glucan,t1,0.46
7,Y_Glucan,t1,
8,Y_Glucan,t1,1.51
1,Control,t2,0.29
2,Control,t2,1.12
3,Control,t2,1.35
4,Control,t2,0.69
5,Control,t2,0.9
6,Control,t2,1.26
7,Control,t2,0.92
8,Control,t2,0.72
1,Y_Glucan,t2,0.12
2,Y_Glucan,t2,1.78
3,Y_Glucan,t2,0.7
4,Y_Glucan,t2,1.2
5,Y_Glucan,t2,0.49
6,Y_Glucan,t2,0.97
7,Y_Glucan,t2,0.52
8,Y_Glucan,t2,1.08
1,Control,t3,0.61
2,Control,t3,0.76
3,Control,t3,0.89
4,Control,t3,0.68
5,Control,t3,0.64
6,Control,t3,0.72
7,Control,t3,0.62
8,Control,t3,0.67
1,Y_Glucan,t3,0.45
2,Y_Glucan,t3,1.23
3,Y_Glucan,t3,0.42
4,Y_Glucan,t3,0.77
5,Y_Glucan,t3,0.16
6,Y_Glucan,t3,0.5
7,Y_Glucan,t3,0.63
8,Y_Glucan,t3,1.29
1,Control,t4,0.83
2,Control,t4,0.36
3,Control,t4,1.09
4,Control,t4,1.06
5,Control,t4,1.06
6,Control,t4,0.82
7,Control,t4,0.83
8,Control,t4,0.37
1,Y_Glucan,t4,0.2
2,Y_Glucan,t4,0.63
3,Y_Glucan,t4,
4,Y_Glucan,t4,0.66
5,Y_Glucan,t4,0.9
6,Y_Glucan,t4,0.75
7,Y_Glucan,t4,0.47
8,Y_Glucan,t4,0.79
