id,group,time,score
1,Control,t1,86.1
2,Control,t1,99
3,Control,t1,135
4,Control,t1,78.4
5,Control,t1,102
6,Control,t1,116
7,Control,t1,86.1
8,Control,t1,86.1
1,Y_Glucan,t1,88.7
2,Y_Glucan,t1,152
3,Y_Glucan,t1,105
4,Y_Glucan,t1,75.8
5,Y_Glucan,t1,116
6,Y_Glucan,t1,97.7
7,Y_Glucan,t1,
8,Y_Glucan,t1,160
1,Control,t2,57.8
2,Control,t2,61.6
3,Control,t2,61.6
4,Control,t2,64.2
5,Control,t2,84.8
6,Control,t2,77.1
7,Control,t2,82.2
8,Control,t2,71.9
1,Y_Glucan,t2,56.5
2,Y_Glucan,t2,41.1
3,Y_Glucan,t2,69.4
4,Y_Glucan,t2,56.5
5,Y_Glucan,t2,61.6
6,Y_Glucan,t2,60.4
7,Y_Glucan,t2,69.4
8,Y_Glucan,t2,
1,Control,t3,41.1
2,Control,t3,47.5
3,Control,t3,55.2
4,Control,t3,48.8
5,Control,t3,39.8
6,Control,t3,56.5
7,Control,t3,47.5
8,Control,t3,46.2
1,Y_Glucan,t3,37.2
2,Y_Glucan,t3,34.7
3,Y_Glucan,t3,42.4
4,Y_Glucan,t3,34.7
5,Y_Glucan,t3,43.6
6,Y_Glucan,t3,69.4
7,Y_Glucan,t3,57.8
8,Y_Glucan,t3,61.6
1,Control,t4,48.8
2,Control,t4,51.4
3,Control,t4,47.5
4,Control,t4,51.4
5,Control,t4,73.2
6,Control,t4,65.5
7,Control,t4,71.9
8,Control,t4,65.5
1,Y_Glucan,t4,68.1
2,Y_Glucan,t4,44.9
3,Y_Glucan,t4,138
4,Y_Glucan,t4,35.9
5,Y_Glucan,t4,35.9
6,Y_Glucan,t4,73.2
7,Y_Glucan,t4,53.9
8,Y_Glucan,t4,66.8
