id,group,time,score
1,Control,t1,92.4
2,Control,t1,96.7
3,Control,t1,95.9
4,Control,t1,97.9
5,Control,t1,80.8
6,Control,t1,98.1
7,Control,t1,93.9
8,Control,t1,92.7
1,Y_Glucan,t1,94
2,Y_Glucan,t1,100
3,Y_Glucan,t1,98.3
4,Y_Glucan,t1,96.7
5,Y_Glucan,t1,97
6,Y_Glucan,t1,86.9
7,Y_Glucan,t1,
8,Y_Glucan,t1,98.9
1,Control,t2,91
2,Control,t2,74.5
3,Control,t2,84.1
4,Control,t2,87
5,Control,t2,91.7
6,Control,t2,88.1
7,Control,t2,93.5
8,Control,t2,88.6
1,Y_Glucan,t2,85.6
2,Y_Glucan,t2,
3,Y_Glucan,t2,87.6
4,Y_Glucan,t2,90.8
5,Y_Glucan,t2,91.8
6,Y_Glucan,t2,89.9
7,Y_Glucan,t2,90.8
8,Y_Glucan,t2,91.7
1,Control,t3,68.1
2,Control,t3,46.7
3,Control,t3,68.2
4,Control,t3,72.6
5,Control,t3,78.4
6,Control,t3,62.1
7,Control,t3,83.7
8,Control,t3,75.1
1,Y_Glucan,t3,67.5
2,Y_Glucan,t3,56.4
3,Y_Glucan,t3,76.9
4,Y_Glucan,t3,81.8
5,Y_Glucan,t3,66.7
6,Y_Glucan,t3,69.4
7,Y_Glucan,t3,79
8,Y_Glucan,t3,77.1
1,Control,t4,49.7
2,Control,t4,39.3
3,Control,t4,74
4,Control,t4,84.5
5,Control,t4,70.1
6,Control,t4,73.1
7,Control,t4,74.4
8,Control,t4,53.6
1,Y_Glucan,t4,21.6
2,Y_Glucan,t4,59.4
3,Y_Glucan,t4,
4,Y_Glucan,t4,65.3
5,Y_Glucan,t4,41.2
6,Y_Glucan,t4,40.6
7,Y_Glucan,t4,63.7
8,Y_Glucan,t4,44.9
