id,group,time,score
1,Control,t1,17.9
2,Control,t1,16.7
3,Control,t1,12.9
4,Control,t1,16.1
5,Control,t1,30.8
6,Control,t1,16.1
7,Control,t1,11.1
8,Control,t1,14.5
1,Y_glucan,t1,13.7
2,Y_glucan,t1,14.5
3,Y_glucan,t1,12.8
4,Y_glucan,t1,13.5
5,Y_glucan,t1,11.9
6,Y_glucan,t1,12.8
7,Y_glucan,t1,14.6
8,Y_glucan,t1,11.8
1,Control,t2,21.3
2,Control,t2,24
3,Control,t2,20.8
4,Control,t2,16.9
5,Control,t2,25.2
6,Control,t2,25.2
7,Control,t2,18.9
8,Control,t2,23.3
1,Y_glucan,t2,15.6
2,Y_glucan,t2,26.3
3,Y_glucan,t2,17.8
4,Y_glucan,t2,18.5
5,Y_glucan,t2,17.7
6,Y_glucan,t2,20.1
7,Y_glucan,t2,18.8
8,Y_glucan,t2,18.4
1,Control,t3,17.8
2,Control,t3,22.5
3,Control,t3,15.2
4,Control,t3,16.1
5,Control,t3,21.5
6,Control,t3,19.1
7,Control,t3,19.5
8,Control,t3,21.3
1,Y_glucan,t3,14.6
2,Y_glucan,t3,15.6
3,Y_glucan,t3,43.2
4,Y_glucan,t3,12.2
5,Y_glucan,t3,12.1
6,Y_glucan,t3,17.5
7,Y_glucan,t3,14.4
8,Y_glucan,t3,17.2
1,Control,t4,21.6
2,Control,t4,34.5
3,Control,t4,43.2
4,Control,t4,34.8
5,Control,t4,31.3
6,Control,t4,24.4
7,Control,t4,40.2
8,Control,t4,28.1
1,Y_glucan,t4,17.9
2,Y_glucan,t4,39
3,Y_glucan,t4,22.3
4,Y_glucan,t4,33.8
5,Y_glucan,t4,15.9
6,Y_glucan,t4,22.4
7,Y_glucan,t4,18.5
8,Y_glucan,t4,45.4
