id,group,time,score
1,Control,t1,1.361727836
2,Control,t1,0.905256049
3,Control,t1,0.807535028
4,Control,t1,1.475671188
5,Control,t1,1.227886705
6,Control,t1,0.474216264
7,Control,t1,1.049218023
8,Control,t1,1.068185862
1,Y_glucan,t1,1.075546961
2,Y_glucan,t1,1.021189299
3,Y_glucan,t1,0.873320602
4,Y_glucan,t1,1.28780173
5,Y_glucan,t1,0.489958479
6,Y_glucan,t1,0.629409599
7,Y_glucan,t1,0.838219222
8,Y_glucan,t1,1.008600172
1,Control,t2,0.597695186
2,Control,t2,0.799340549
3,Control,t2,0.51054501
4,Control,t2,0.640481437
5,Control,t2,0.629409599
6,Control,t2,0.618048097
7,Control,t2,0.442479769
8,Control,t2,0.495544338
1,Y_glucan,t2,0.725911632
2,Y_glucan,t2,1.079181246
3,Y_glucan,t2,1.025305865
4,Y_glucan,t2,0.761927838
5,Y_glucan,t2,0.439332694
6,Y_glucan,t2,0.238046103
7,Y_glucan,t2,0.428134794
8,Y_glucan,t2,0.691081492
1,Control,t3,1.033423755
2,Control,t3,1.127104798
3,Control,t3,1.06069784
4,Control,t3,1.139879086
5,Control,t3,1.250420002
6,Control,t3,1.071882007
7,Control,t3,1.164352856
8,Control,t3,0.894316063
1,Y_glucan,t3,1.170261715
2,Y_glucan,t3,1.290034611
3,Y_glucan,t3,1.245512668
4,Y_glucan,t3,0.970811611
5,Y_glucan,t3,0.376576957
6,Y_glucan,t3,0.469822016
7,Y_glucan,t3,0.802773725
8,Y_glucan,t3,0.915927212
1,Control,t4,1.008600172
2,Control,t4,1.67669361
3,Control,t4,1.584331224
4,Control,t4,1.499687083
5,Control,t4,1.318063335
6,Control,t4,1.120573931
7,Control,t4,1.214843848
8,Control,t4,1.056904851
1,Y_glucan,t4,1.198657087
2,Y_glucan,t4,1.423245874
3,Y_glucan,t4,1.385606274
4,Y_glucan,t4,1.445604203
5,Y_glucan,t4,0.803457116
6,Y_glucan,t4,0.944975908
7,Y_glucan,t4,0.953759692
8,Y_glucan,t4,1.021189299
