id,group,time,score
1,Control,t1,24.4
2,Control,t1,33.4
3,Control,t1,34.7
4,Control,t1,35.9
5,Control,t1,29.5
6,Control,t1,42.4
7,Control,t1,25.7
8,Control,t1,28.2
1,Y_glucan,t1,32.1
2,Y_glucan,t1,38.5
3,Y_glucan,t1,27
4,Y_glucan,t1,25.7
5,Y_glucan,t1,33.4
6,Y_glucan,t1,29.5
7,Y_glucan,t1,56.5
8,Y_glucan,t1,33.4
1,Control,t2,20.5
2,Control,t2,25.7
3,Control,t2,21.8
4,Control,t2,27
5,Control,t2,21.8
6,Control,t2,19.3
7,Control,t2,16.7
8,Control,t2,20.5
1,Y_glucan,t2,25.7
2,Y_glucan,t2,21.8
3,Y_glucan,t2,19.3
4,Y_glucan,t2,23.1
5,Y_glucan,t2,18
6,Y_glucan,t2,28.2
7,Y_glucan,t2,20.5
8,Y_glucan,t2,19.3
1,Control,t3,21.8
2,Control,t3,21.8
3,Control,t3,23.1
4,Control,t3,25.7
5,Control,t3,24.4
6,Control,t3,20.5
7,Control,t3,20.5
8,Control,t3,18
1,Y_glucan,t3,24.4
2,Y_glucan,t3,21.8
3,Y_glucan,t3,16.7
4,Y_glucan,t3,24.4
5,Y_glucan,t3,24.4
6,Y_glucan,t3,32.1
7,Y_glucan,t3,16.7
8,Y_glucan,t3,25.7
1,Control,t4,27
2,Control,t4,27
3,Control,t4,29.5
4,Control,t4,20.5
5,Control,t4,24.4
6,Control,t4,32.1
7,Control,t4,18
8,Control,t4,18
1,Y_glucan,t4,29.5
2,Y_glucan,t4,16.7
3,Y_glucan,t4,25.7
4,Y_glucan,t4,21.8
5,Y_glucan,t4,21.8
6,Y_glucan,t4,28.2
7,Y_glucan,t4,21.8
8,Y_glucan,t4,20.5
