id,group,time,score
1,Control,t1,7.97
2,Control,t1,11.4
3,Control,t1,11.5
4,Control,t1,10.7
5,Control,t1,3.76
6,Control,t1,4.33
7,Control,t1,6.68
8,Control,t1,5.79
1,Y_glucan,t1,12.5
2,Y_glucan,t1,6.9
3,Y_glucan,t1,9.83
4,Y_glucan,t1,13.7
5,Y_glucan,t1,5.01
6,Y_glucan,t1,6.46
7,Y_glucan,t1,8.78
8,Y_glucan,t1,9.77
1,Control,t2,23.8
2,Control,t2,29.9
3,Control,t2,23.6
4,Control,t2,27
5,Control,t2,23.6
6,Control,t2,24.7
7,Control,t2,21
8,Control,t2,20.5
1,Y_glucan,t2,24.1
2,Y_glucan,t2,39.7
3,Y_glucan,t2,23.4
4,Y_glucan,t2,24.6
5,Y_glucan,t2,19.7
6,Y_glucan,t2,20.1
7,Y_glucan,t2,24.9
8,Y_glucan,t2,23.2
1,Control,t3,27.1
2,Control,t3,29.9
3,Control,t3,28.5
4,Control,t3,26
5,Control,t3,33
6,Control,t3,27.9
7,Control,t3,31.7
8,Control,t3,23.2
1,Y_glucan,t3,34.6
2,Y_glucan,t3,39.3
3,Y_glucan,t3,28.5
4,Y_glucan,t3,17.6
5,Y_glucan,t3,20.6
6,Y_glucan,t3,21.8
7,Y_glucan,t3,28
8,Y_glucan,t3,28.9
1,Control,t4,29
2,Control,t4,67.6
3,Control,t4,69.7
4,Control,t4,42.8
5,Control,t4,36.6
6,Control,t4,30.9
7,Control,t4,37
8,Control,t4,28.1
1,Y_glucan,t4,34.6
2,Y_glucan,t4,46.7
3,Y_glucan,t4,32
4,Y_glucan,t4,60.7
5,Y_glucan,t4,26.8
6,Y_glucan,t4,31
7,Y_glucan,t4,33.7
8,Y_glucan,t4,31.9
