id,group,time,score
1,Control,t1,5.11
2,Control,t1,6.48
3,Control,t1,6.61
4,Control,t1,8.17
5,Control,t1,1.36
6,Control,t1,1.2
7,Control,t1,6.35
8,Control,t1,3.12
1,Y_glucan,t1,4.75
2,Y_glucan,t1,4.58
3,Y_glucan,t1,7.67
4,Y_glucan,t1,6.55
5,Y_glucan,t1,3.91
6,Y_glucan,t1,3.88
7,Y_glucan,t1,7.62
8,Y_glucan,t1,6.21
1,Control,t2,43.1
2,Control,t2,48
3,Control,t2,50.5
4,Control,t2,42.1
5,Control,t2,44
6,Control,t2,47
7,Control,t2,46.2
8,Control,t2,43.1
1,Y_glucan,t2,39.9
2,Y_glucan,t2,56.8
3,Y_glucan,t2,46.4
4,Y_glucan,t2,46.3
5,Y_glucan,t2,38.8
6,Y_glucan,t2,37.8
7,Y_glucan,t2,46.8
8,Y_glucan,t2,50.3
1,Control,t3,42.6
2,Control,t3,46.3
3,Control,t3,50.1
4,Control,t3,40.7
5,Control,t3,47.6
6,Control,t3,40.6
7,Control,t3,53.3
8,Control,t3,52.9
1,Y_glucan,t3,45.3
2,Y_glucan,t3,53.9
3,Y_glucan,t3,41
4,Y_glucan,t3,35.8
5,Y_glucan,t3,33.5
6,Y_glucan,t3,40.2
7,Y_glucan,t3,48.3
8,Y_glucan,t3,51.9
1,Control,t4,45.6
2,Control,t4,55.3
3,Control,t4,59.8
4,Control,t4,51.4
5,Control,t4,58.9
6,Control,t4,60
7,Control,t4,47.1
8,Control,t4,57.7
1,Y_glucan,t4,49.1
2,Y_glucan,t4,57.5
3,Y_glucan,t4,48.8
4,Y_glucan,t4,51.4
5,Y_glucan,t4,43.8
6,Y_glucan,t4,46.8
7,Y_glucan,t4,60
8,Y_glucan,t4,49.1
